Date,Equity
2020-01-02,
2020-01-03,99027.7658547616
2020-01-06,99816.84502335632
2020-01-07,99347.43645846637
2020-01-08,100945.53822123489
2020-01-09,103089.70249224771
2020-01-10,103322.75267430344
2020-01-13,105530.18105070968
2020-01-14,104105.20497235138
2020-01-15,103659.03756482921
2020-01-16,104957.50637038029
2020-01-17,106119.4909558397
2020-01-21,105400.32370116477
2020-01-22,105776.57919476715
2020-01-23,106285.97930071333
2020-01-24,105979.64619002052
2020-01-27,102863.28964972853
2020-01-28,105773.22911802947
2020-01-29,107987.30530296208
2020-01-30,107830.82531234229
2020-01-31,103049.73188917107
2020-02-03,102766.73415675426
2020-02-04,106159.46155891631
2020-02-05,107025.10044995717
2020-02-06,108276.97178188487
2020-02-07,106805.1993190969
2020-02-10,107312.4637511228
2020-02-11,106665.0509525734
2020-02-12,109198.085849904
2020-02-13,108420.49116312571
2020-02-14,108447.18708712922
2020-02-18,106461.45003883996
2020-02-19,108003.3123883744
2020-02-20,106895.32685233072
2020-02-21,104475.7548665099
2020-02-24,99513.0977531454
2020-02-25,96142.35522957446
2020-02-26,97667.51954036945
2020-02-27,91283.20501841494
2020-02-28,91229.79223242831
2020-03-02,99723.34647540518
2020-03-03,96556.21533455749
2020-03-04,101034.9224561925
2020-03-05,97757.67848057268
2020-03-06,96459.40858582791
2020-03-09,88830.26836208467
2020-03-10,95227.94131503074
2020-03-11,91920.6304006901
2020-03-12,82843.03215445527
2020-03-13,92768.32544320468
2020-03-16,80833.93355541551
2020-03-17,84388.22364274782
2020-03-18,82322.40929143784
2020-03-19,81691.64218667884
2020-03-20,76505.4145615273
2020-03-23,74880.11436324465
2020-03-24,82392.48347469959
2020-03-25,81938.60565618581
2020-03-26,86250.4789562836
2020-03-27,82679.49083021183
2020-03-30,85039.00222151964
2020-03-31,84865.46824650702
2020-04-01,80400.09338338906
2020-04-02,81741.70489592776
2020-04-03,80566.96384639059
2020-04-06,87595.41437308547
2020-04-07,86580.86980554897
2020-04-08,88796.86181561595
2020-04-09,89437.63727462881
2020-04-13,91193.08795417094
2020-04-14,95798.61641830733
2020-04-15,94924.22545178924
2020-04-16,95678.47429130173
2020-04-17,94380.25674150599
2020-04-20,92421.20514823042
2020-04-21,89564.45861713019
2020-04-22,92144.21661596186
2020-04-23,91787.14031168277
2020-04-24,94436.9881972609
2020-04-27,94503.73847625947
2020-04-28,92971.8844809789
2020-04-29,96025.56317930658
2020-04-30,98051.3231756215
2020-05-01,96472.76701681949
2020-05-04,97837.74531460363
2020-05-05,99306.17816964372
2020-05-06,100330.75726390858
2020-05-07,101368.6633821956
2020-05-08,103781.40958666336
2020-05-11,105414.42543043253
2020-05-12,104209.75877353693
2020-05-13,102951.5118268178
2020-05-14,103583.98537691506
2020-05-15,102971.57041128475
2020-05-18,105397.70645371349
2020-05-19,104788.66250280048
2020-05-20,106826.62934122837
2020-05-21,106030.18000381075
2020-05-22,106712.8523600244
2020-05-26,105990.03142790742
2020-05-27,106451.8185682191
2020-05-28,106498.6672975978
2020-05-29,106394.95101559673
