Model Type,Layers,Units per Layer,Epochs,Batch Size,Training Loss,Validation Loss,Time Taken (s)
LSTM,2,50,25,32,0.005389359779655933,0.0036441292613744736,13.37039303779602
LSTM,2,50,25,64,0.0070817843079566956,0.008120410144329071,10.103422403335571
LSTM,2,50,50,32,0.003105056006461382,0.002684413455426693,25.587393045425415
LSTM,2,50,50,64,0.004799795337021351,0.0032667892519384623,18.90717911720276
LSTM,2,100,25,32,0.007015121169388294,0.008436329662799835,27.329384803771973
LSTM,2,100,25,64,0.00784266833215952,0.008555792272090912,18.486613988876343
LSTM,2,100,50,32,0.004094080999493599,0.006746736355125904,53.93132495880127
LSTM,2,100,50,64,0.004339119885116816,0.00548186618834734,36.037025928497314
LSTM,2,150,25,32,0.005695936735719442,0.004254930652678013,37.869832038879395
LSTM,2,150,25,64,0.005104505456984043,0.0036256411112844944,30.875804901123047
LSTM,2,150,50,32,0.002772729843854904,0.003061322495341301,78.14182710647583
LSTM,2,150,50,64,0.003009059000760317,0.002744385041296482,63.590672969818115
LSTM,3,50,25,32,0.004871793556958437,0.0035428013652563095,21.272594928741455
LSTM,3,50,25,64,0.005125648807734251,0.003817147808149457,16.958061695098877
LSTM,3,50,50,32,0.002770362887531519,0.0025799162685871124,41.535953998565674
LSTM,3,50,50,64,0.006567069794982672,0.008105152286589146,32.554967164993286
LSTM,3,100,25,32,0.0048746634274721146,0.0033809528686106205,45.433308839797974
LSTM,3,100,25,64,0.005397768225520849,0.003586607286706567,30.496493101119995
LSTM,3,100,50,32,0.0029375534504652023,0.004506574012339115,89.89540886878967
LSTM,3,100,50,64,0.0033817263320088387,0.003999713808298111,60.194267988204956
LSTM,3,150,25,32,0.008343000896275043,0.011950766667723656,64.3487138748169
LSTM,3,150,25,64,0.0070291850715875626,0.00981066469103098,48.79764008522034
LSTM,3,150,50,32,0.0026111563201993704,0.003405523020774126,121.96771097183228
LSTM,3,150,50,64,0.00439109280705452,0.006165182217955589,101.10033893585205
LSTM,4,50,25,32,0.0059686144813895226,0.0035272117238491774,29.161125898361206
LSTM,4,50,25,64,0.0046064951457083225,0.003410221543163061,23.325242042541504
LSTM,4,50,50,32,0.006136077456176281,0.005544973071664572,57.800546646118164
LSTM,4,50,50,64,0.006823293399065733,0.009783401153981686,45.19218182563782
LSTM,4,100,25,32,0.003716263920068741,0.0028123497031629086,64.413015127182
LSTM,4,100,25,64,0.006859178189188242,0.007658199407160282,40.49225211143494
LSTM,4,100,50,32,0.0025320500135421753,0.003703859867528081,121.89011192321777
LSTM,4,100,50,64,0.005894583184272051,0.004702451638877392,77.36408185958862
LSTM,4,150,25,32,0.00563565781340003,0.005199492909014225,84.21808004379272
LSTM,4,150,25,64,0.005275389179587364,0.0032874466851353645,70.4507532119751
