Country,Year,Fat,Protein,Fruit,Sugar,Veg,Obesity,Continent,ObesityRateCategory
Australia,2010,151.3,110.9,80.4,131.0,98.8,62.41,Australia,Medium
Australia,2011,155.2,110.7,74.2,129.5,93.3,62.73,Australia,Medium
Australia,2012,156.4,110.1,75.9,129.6,96.4,63.03,Australia,Medium
Australia,2013,152.7,109.4,73.5,129.7,101.9,63.33,Australia,Medium
Australia,2014,158.2,107.8,71.0,43.9,86.7,63.63,Australia,Medium
Australia,2015,159.5,108.2,70.8,42.5,90.0,63.95,Australia,Medium
Australia,2016,160.7,109.0,76.8,44.1,93.5,64.29,Australia,Medium
Australia,2017,159.0,106.7,75.4,43.3,94.0,64.63,Australia,Medium
Australia,2018,160.6,107.8,70.6,41.7,89.9,64.97,Australia,Medium
Australia,2019,160.9,110.9,65.5,41.2,86.2,65.32,Australia,High
Australia,2020,155.7,114.9,71.1,41.2,81.0,65.72,Australia,High
Austria,2010,174.2,106.2,83.9,46.2,96.2,48.29,Western Europe,Low
Austria,2011,173.3,107.3,83.5,46.5,102.7,48.34,Western Europe,Low
Austria,2012,172.8,102.8,99.9,46.1,92.8,48.36,Western Europe,Low
Austria,2013,171.7,105.0,88.0,44.5,92.6,48.38,Western Europe,Low
Austria,2014,162.2,106.5,89.6,44.9,101.9,48.42,Western Europe,Low
Austria,2015,163.7,107.1,89.6,46.9,89.3,48.44,Western Europe,Low
Austria,2016,162.3,109.6,79.0,48.5,94.5,48.51,Western Europe,Low
Austria,2017,165.5,107.4,80.1,47.5,93.9,48.61,Western Europe,Low
Austria,2018,166.0,109.8,95.9,45.6,87.7,48.74,Western Europe,Low
Austria,2019,178.5,109.1,86.0,40.5,100.2,48.86,Western Europe,Low
Austria,2020,183.7,106.1,89.2,36.8,97.6,49.0,Western Europe,Low
Belgium,2010,161.3,96.9,57.5,54.3,104.8,56.07,Western Europe,Medium
Belgium,2011,167.7,96.6,37.2,48.6,116.4,56.13,Western Europe,Medium
Belgium,2012,161.6,99.0,43.0,54.1,116.9,56.18,Western Europe,Medium
Belgium,2013,162.3,99.6,49.9,51.9,122.5,56.21,Western Europe,Medium
Belgium,2014,161.7,98.5,150.5,53.3,112.4,56.27,Western Europe,Medium
Belgium,2015,166.6,98.9,116.3,61.5,103.4,56.33,Western Europe,Medium
Belgium,2016,165.2,99.8,120.7,58.8,115.4,56.4,Western Europe,Medium
Belgium,2017,166.9,98.5,89.3,59.1,113.1,56.48,Western Europe,Medium
Belgium,2018,163.4,98.1,123.8,62.6,109.7,56.55,Western Europe,Medium
Belgium,2019,177.0,103.1,102.8,57.6,133.3,56.63,Western Europe,Medium
Belgium,2020,179.7,104.8,93.2,51.1,133.3,56.69,Western Europe,Medium
Canada,2010,144.8,102.1,94.8,93.4,104.7,61.04,North America,Medium
Canada,2011,150.2,101.5,96.1,93.2,107.6,61.22,North America,Medium
Canada,2012,141.7,103.5,97.3,93.1,109.0,61.37,North America,Medium
Canada,2013,142.7,102.2,99.3,93.1,105.0,61.52,North America,Medium
Canada,2014,157.1,98.7,96.1,93.5,105.4,61.67,North America,Medium
Canada,2015,158.5,97.6,93.1,93.1,103.4,61.82,North America,Medium
Canada,2016,157.5,102.4,99.4,90.4,104.8,61.95,North America,Medium
Canada,2017,157.5,104.7,97.0,84.3,101.9,62.04,North America,Medium
Canada,2018,159.2,108.0,96.9,56.5,101.6,62.11,North America,Medium
Canada,2019,158.3,107.1,94.9,50.5,101.3,62.18,North America,Medium
Canada,2020,161.7,106.7,92.8,49.8,99.6,62.3,North America,Medium
Czechia,2010,137.7,92.8,51.9,50.8,66.0,60.71,Eastern Europe,Medium
Czechia,2011,133.3,90.8,53.3,60.6,70.1,61.26,Eastern Europe,Medium
Czechia,2012,137.0,86.8,44.6,65.0,64.6,61.84,Eastern Europe,Medium
Czechia,2013,137.1,87.4,51.6,66.2,68.3,62.45,Eastern Europe,Medium
Czechia,2014,128.5,87.4,50.5,56.3,73.5,63.09,Eastern Europe,Medium
Czechia,2015,125.0,87.4,56.3,48.2,72.9,63.76,Eastern Europe,Medium
Czechia,2016,137.3,88.6,54.6,46.7,79.5,64.42,Eastern Europe,Medium
Czechia,2017,140.9,86.9,58.9,49.1,80.7,65.07,Eastern Europe,High
Czechia,2018,146.0,86.4,61.9,43.7,76.6,65.7,Eastern Europe,High
Czechia,2019,150.6,87.9,63.5,41.7,72.5,66.32,Eastern Europe,High
Czechia,2020,152.3,90.6,67.5,35.5,75.1,66.91,Eastern Europe,High
Denmark,2010,126.8,109.5,81.3,54.4,111.4,48.22,Northern Europe,Low
Denmark,2011,129.9,104.3,77.3,56.8,110.7,48.26,Northern Europe,Low
Denmark,2012,129.1,109.2,59.0,55.5,98.9,48.26,Northern Europe,Low
Denmark,2013,131.4,111.1,59.0,56.2,96.7,48.25,Northern Europe,Low
Denmark,2014,131.4,108.7,58.9,54.8,97.5,48.23,Northern Europe,Low
Denmark,2015,131.4,109.6,58.0,54.9,93.4,48.22,Northern Europe,Low
Denmark,2016,133.7,114.3,56.9,54.9,97.4,48.22,Northern Europe,Low
Denmark,2017,133.2,115.6,59.6,55.3,101.4,48.23,Northern Europe,Low
Denmark,2018,136.9,118.0,61.7,56.0,104.2,48.23,Northern Europe,Low
Denmark,2019,145.9,113.9,59.3,54.4,96.0,48.23,Northern Europe,Low
Denmark,2020,144.6,110.8,60.4,59.2,94.9,48.23,Northern Europe,Low
Finland,2010,133.3,112.2,58.3,40.0,76.8,59.33,Northern Europe,Medium
Finland,2011,137.7,113.9,62.9,39.8,82.6,59.41,Northern Europe,Medium
Finland,2012,141.3,116.0,65.4,39.8,77.4,59.48,Northern Europe,Medium
Finland,2013,141.4,116.4,62.8,39.8,82.9,59.56,Northern Europe,Medium
Finland,2014,142.1,118.0,68.1,40.2,83.9,59.65,Northern Europe,Medium
Finland,2015,140.7,118.2,70.5,40.3,80.5,59.76,Northern Europe,Medium
Finland,2016,140.8,117.6,71.0,40.3,84.0,59.89,Northern Europe,Medium
Finland,2017,139.6,118.2,70.4,40.4,82.2,60.03,Northern Europe,Medium
Finland,2018,140.7,118.5,71.2,41.5,83.7,60.17,Northern Europe,Medium
Finland,2019,131.5,119.5,72.6,48.8,84.5,60.3,Northern Europe,Medium
Finland,2020,139.7,117.9,71.9,49.6,83.5,60.43,Northern Europe,Medium
France,2010,162.7,112.4,74.2,38.0,102.6,44.53,Western Europe,Low
France,2011,160.5,111.0,80.0,37.7,99.0,44.12,Western Europe,Low
France,2012,156.9,110.5,72.7,38.0,97.9,43.69,Western Europe,Low
France,2013,158.4,109.9,79.3,39.2,96.9,43.23,Western Europe,Low
