,Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity,Continent,ObesityRateCategory
0,Australia,2010,3410.0,151.3,110.9,80.4,131.0,98.8,62.41,Australia,Medium
1,Australia,2011,3390.0,155.2,110.7,74.2,129.5,93.3,62.73,Australia,Medium
2,Australia,2012,3437.0,156.4,110.1,75.9,129.6,96.4,63.03,Australia,Medium
3,Australia,2013,3429.0,152.7,109.4,73.5,129.7,101.9,63.33,Australia,Medium
4,Australia,2014,3413.0,158.2,107.8,71.0,43.9,86.7,63.63,Australia,Medium
5,Australia,2015,3401.0,159.5,108.2,70.8,42.5,90.0,63.95,Australia,Medium
6,Australia,2016,3428.0,160.7,109.0,76.8,44.1,93.5,64.29,Australia,Medium
7,Australia,2017,3404.0,159.0,106.7,75.4,43.3,94.0,64.63,Australia,Medium
8,Australia,2018,3395.0,160.6,107.8,70.6,41.7,89.9,64.97,Australia,Medium
9,Australia,2019,3438.0,160.9,110.9,65.5,41.2,86.2,65.32,Australia,High
10,Australia,2020,3422.0,155.7,114.9,71.1,41.2,81.0,65.72,Australia,High
11,Austria,2010,3724.0,174.2,106.2,83.9,46.2,96.2,48.29,Western Europe,Low
12,Austria,2011,3763.0,173.3,107.3,83.5,46.5,102.7,48.34,Western Europe,Low
13,Austria,2012,3740.0,172.8,102.8,99.9,46.1,92.8,48.36,Western Europe,Low
14,Austria,2013,3718.0,171.7,105.0,88.0,44.5,92.6,48.38,Western Europe,Low
15,Austria,2014,3672.0,162.2,106.5,89.6,44.9,101.9,48.42,Western Europe,Low
16,Austria,2015,3664.0,163.7,107.1,89.6,46.9,89.3,48.44,Western Europe,Low
17,Austria,2016,3659.0,162.3,109.6,79.0,48.5,94.5,48.51,Western Europe,Low
18,Austria,2017,3687.0,165.5,107.4,80.1,47.5,93.9,48.61,Western Europe,Low
19,Austria,2018,3699.0,166.0,109.8,95.9,45.6,87.7,48.74,Western Europe,Low
20,Austria,2019,3739.0,178.5,109.1,86.0,40.5,100.2,48.86,Western Europe,Low
21,Austria,2020,3698.0,183.7,106.1,89.2,36.8,97.6,49.0,Western Europe,Low
22,Belgium,2010,3708.0,161.3,96.9,57.5,54.3,104.8,56.07,Western Europe,Medium
23,Belgium,2011,3720.0,167.7,96.6,37.2,48.6,116.4,56.13,Western Europe,Medium
24,Belgium,2012,3715.0,161.6,99.0,43.0,54.1,116.9,56.18,Western Europe,Medium
25,Belgium,2013,3733.0,162.3,99.6,49.9,51.9,122.5,56.21,Western Europe,Medium
26,Belgium,2014,3789.0,161.7,98.5,150.5,53.3,112.4,56.27,Western Europe,Medium
27,Belgium,2015,3804.0,166.6,98.9,116.3,61.5,103.4,56.33,Western Europe,Medium
28,Belgium,2016,3774.0,165.2,99.8,120.7,58.8,115.4,56.4,Western Europe,Medium
29,Belgium,2017,3768.0,166.9,98.5,89.3,59.1,113.1,56.48,Western Europe,Medium
30,Belgium,2018,3774.0,163.4,98.1,123.8,62.6,109.7,56.55,Western Europe,Medium
31,Belgium,2019,3836.0,177.0,103.1,102.8,57.6,133.3,56.63,Western Europe,Medium
32,Belgium,2020,3815.0,179.7,104.8,93.2,51.1,133.3,56.69,Western Europe,Medium
33,Canada,2010,3459.0,144.8,102.1,94.8,93.4,104.7,61.04,North America,Medium
34,Canada,2011,3484.0,150.2,101.5,96.1,93.2,107.6,61.22,North America,Medium
35,Canada,2012,3475.0,141.7,103.5,97.3,93.1,109.0,61.37,North America,Medium
36,Canada,2013,3444.0,142.7,102.2,99.3,93.1,105.0,61.52,North America,Medium
37,Canada,2014,3414.0,157.1,98.7,96.1,93.5,105.4,61.67,North America,Medium
38,Canada,2015,3419.0,158.5,97.6,93.1,93.1,103.4,61.82,North America,Medium
39,Canada,2016,3494.0,157.5,102.4,99.4,90.4,104.8,61.95,North America,Medium
40,Canada,2017,3501.0,157.5,104.7,97.0,84.3,101.9,62.04,North America,Medium
41,Canada,2018,3531.0,159.2,108.0,96.9,56.5,101.6,62.11,North America,Medium
42,Canada,2019,3535.0,158.3,107.1,94.9,50.5,101.3,62.18,North America,Medium
43,Canada,2020,3583.0,161.7,106.7,92.8,49.8,99.6,62.3,North America,Medium
44,Czechia,2010,3276.0,137.7,92.8,51.9,50.8,66.0,60.71,Eastern Europe,Medium
45,Czechia,2011,3251.0,133.3,90.8,53.3,60.6,70.1,61.26,Eastern Europe,Medium
46,Czechia,2012,3243.0,137.0,86.8,44.6,65.0,64.6,61.84,Eastern Europe,Medium
47,Czechia,2013,3256.0,137.1,87.4,51.6,66.2,68.3,62.45,Eastern Europe,Medium
48,Czechia,2014,3197.0,128.5,87.4,50.5,56.3,73.5,63.09,Eastern Europe,Medium
49,Czechia,2015,3122.0,125.0,87.4,56.3,48.2,72.9,63.76,Eastern Europe,Medium
50,Czechia,2016,3239.0,137.3,88.6,54.6,46.7,79.5,64.42,Eastern Europe,Medium
51,Czechia,2017,3274.0,140.9,86.9,58.9,49.1,80.7,65.07,Eastern Europe,High
52,Czechia,2018,3272.0,146.0,86.4,61.9,43.7,76.6,65.7,Eastern Europe,High
53,Czechia,2019,3308.0,150.6,87.9,63.5,41.7,72.5,66.32,Eastern Europe,High
54,Czechia,2020,3331.0,152.3,90.6,67.5,35.5,75.1,66.91,Eastern Europe,High
55,Denmark,2010,3365.0,126.8,109.5,81.3,54.4,111.4,48.22,Northern Europe,Low
56,Denmark,2011,3334.0,129.9,104.3,77.3,56.8,110.7,48.26,Northern Europe,Low
57,Denmark,2012,3337.0,129.1,109.2,59.0,55.5,98.9,48.26,Northern Europe,Low
58,Denmark,2013,3363.0,131.4,111.1,59.0,56.2,96.7,48.25,Northern Europe,Low
59,Denmark,2014,3355.0,131.4,108.7,58.9,54.8,97.5,48.23,Northern Europe,Low
60,Denmark,2015,3342.0,131.4,109.6,58.0,54.9,93.4,48.22,Northern Europe,Low
61,Denmark,2016,3368.0,133.7,114.3,56.9,54.9,97.4,48.22,Northern Europe,Low
62,Denmark,2017,3397.0,133.2,115.6,59.6,55.3,101.4,48.23,Northern Europe,Low
63,Denmark,2018,3402.0,136.9,118.0,61.7,56.0,104.2,48.23,Northern Europe,Low
64,Denmark,2019,3449.0,145.9,113.9,59.3,54.4,96.0,48.23,Northern Europe,Low
65,Denmark,2020,3453.0,144.6,110.8,60.4,59.2,94.9,48.23,Northern Europe,Low
66,Finland,2010,3243.0,133.3,112.2,58.3,40.0,76.8,59.33,Northern Europe,Medium
67,Finland,2011,3265.0,137.7,113.9,62.9,39.8,82.6,59.41,Northern Europe,Medium
68,Finland,2012,3327.0,141.3,116.0,65.4,39.8,77.4,59.48,Northern Europe,Medium
69,Finland,2013,3305.0,141.4,116.4,62.8,39.8,82.9,59.56,Northern Europe,Medium
70,Finland,2014,3320.0,142.1,118.0,68.1,40.2,83.9,59.65,Northern Europe,Medium
71,Finland,2015,3333.0,140.7,118.2,70.5,40.3,80.5,59.76,Northern Europe,Medium
72,Finland,2016,3339.0,140.8,117.6,71.0,40.3,84.0,59.89,Northern Europe,Medium
73,Finland,2017,3337.0,139.6,118.2,70.4,40.4,82.2,60.03,Northern Europe,Medium
74,Finland,2018,3345.0,140.7,118.5,71.2,41.5,83.7,60.17,Northern Europe,Medium
75,Finland,2019,3346.0,131.5,119.5,72.6,48.8,84.5,60.3,Northern Europe,Medium
76,Finland,2020,3363.0,139.7,117.9,71.9,49.6,83.5,60.43,Northern Europe,Medium
77,France,2010,3527.0,162.7,112.4,74.2,38.0,102.6,44.53,Western Europe,Low
78,France,2011,3504.0,160.5,111.0,80.0,37.7,99.0,44.12,Western Europe,Low
79,France,2012,3451.0,156.9,110.5,72.7,38.0,97.9,43.69,Western Europe,Low
80,France,2013,3473.0,158.4,109.9,79.3,39.2,96.9,43.23,Western Europe,Low
81,France,2014,3411.0,149.3,107.1,80.2,37.3,94.8,42.76,Western Europe,Low
82,France,2015,3488.0,148.6,108.9,78.6,38.6,93.2,42.27,Western Europe,Low
83,France,2016,3532.0,149.6,109.6,91.8,38.7,100.7,41.77,Western Europe,Low
84,France,2017,3510.0,149.1,109.4,93.9,38.8,101.8,41.27,Western Europe,Low
85,France,2018,3479.0,149.9,108.5,82.9,38.8,99.1,40.76,Western Europe,Low
86,France,2019,3519.0,153.4,119.5,86.7,34.1,95.8,40.24,Western Europe,Low
87,France,2020,3538.0,152.4,119.9,83.8,36.2,94.8,39.72,Western Europe,Low
88,Germany,2010,3504.0,144.1,101.8,61.0,49.9,80.6,61.11,Western Europe,Medium
89,Germany,2011,3538.0,145.6,103.1,64.4,48.8,85.5,61.11,Western Europe,Medium
90,Germany,2012,3501.0,144.3,101.8,64.8,47.4,87.8,61.09,Western Europe,Medium
91,Germany,2013,3499.0,141.8,101.6,65.7,48.3,83.6,61.05,Western Europe,Medium
92,Germany,2014,3541.0,142.2,104.1,70.5,49.0,90.0,61.01,Western Europe,Medium
93,Germany,2015,3567.0,143.7,105.1,75.8,49.3,88.4,60.96,Western Europe,Medium
94,Germany,2016,3557.0,145.1,104.7,76.5,47.5,91.8,60.9,Western Europe,Medium
95,Germany,2017,3542.0,146.2,104.1,70.7,46.5,94.7,60.84,Western Europe,Medium
96,Germany,2018,3556.0,151.3,105.5,78.1,44.2,89.8,60.77,Western Europe,Medium
97,Germany,2019,3592.0,164.5,105.0,77.3,43.7,88.3,60.7,Western Europe,Medium
98,Germany,2020,3628.0,164.8,105.9,78.6,45.8,91.4,60.63,Western Europe,Medium
