Country,Year,Calories,Fat,Protein,Fruit,Sugar,Veg,Obesity
Australia,2010,3410.0,151.3,110.9,80.4,131.0,98.8,62.41
Australia,2011,3390.0,155.2,110.7,74.2,129.5,93.3,62.73
Australia,2012,3437.0,156.4,110.1,75.9,129.6,96.4,63.03
Australia,2013,3429.0,152.7,109.4,73.5,129.7,101.9,63.33
Australia,2014,3413.0,158.2,107.8,71.0,43.9,86.7,63.63
Australia,2015,3401.0,159.5,108.2,70.8,42.5,90.0,63.95
Australia,2016,3428.0,160.7,109.0,76.8,44.1,93.5,64.29
Australia,2017,3404.0,159.0,106.7,75.4,43.3,94.0,64.63
Australia,2018,3395.0,160.6,107.8,70.6,41.7,89.9,64.97
Australia,2019,3438.0,160.9,110.9,65.5,41.2,86.2,65.32
Australia,2020,3422.0,155.7,114.9,71.1,41.2,81.0,65.72
Austria,2010,3724.0,174.2,106.2,83.9,46.2,96.2,48.29
Austria,2011,3763.0,173.3,107.3,83.5,46.5,102.7,48.34
Austria,2012,3740.0,172.8,102.8,99.9,46.1,92.8,48.36
Austria,2013,3718.0,171.7,105.0,88.0,44.5,92.6,48.38
Austria,2014,3672.0,162.2,106.5,89.6,44.9,101.9,48.42
Austria,2015,3664.0,163.7,107.1,89.6,46.9,89.3,48.44
Austria,2016,3659.0,162.3,109.6,79.0,48.5,94.5,48.51
Austria,2017,3687.0,165.5,107.4,80.1,47.5,93.9,48.61
Austria,2018,3699.0,166.0,109.8,95.9,45.6,87.7,48.74
Austria,2019,3739.0,178.5,109.1,86.0,40.5,100.2,48.86
Austria,2020,3698.0,183.7,106.1,89.2,36.8,97.6,49.0
Belgium,2010,3708.0,161.3,96.9,57.5,54.3,104.8,56.07
Belgium,2011,3720.0,167.7,96.6,37.2,48.6,116.4,56.13
Belgium,2012,3715.0,161.6,99.0,43.0,54.1,116.9,56.18
Belgium,2013,3733.0,162.3,99.6,49.9,51.9,122.5,56.21
Belgium,2014,3789.0,161.7,98.5,150.5,53.3,112.4,56.27
Belgium,2015,3804.0,166.6,98.9,116.3,61.5,103.4,56.33
Belgium,2016,3774.0,165.2,99.8,120.7,58.8,115.4,56.4
Belgium,2017,3768.0,166.9,98.5,89.3,59.1,113.1,56.48
Belgium,2018,3774.0,163.4,98.1,123.8,62.6,109.7,56.55
Belgium,2019,3836.0,177.0,103.1,102.8,57.6,133.3,56.63
Belgium,2020,3815.0,179.7,104.8,93.2,51.1,133.3,56.69
Canada,2010,3459.0,144.8,102.1,94.8,93.4,104.7,61.04
Canada,2011,3484.0,150.2,101.5,96.1,93.2,107.6,61.22
Canada,2012,3475.0,141.7,103.5,97.3,93.1,109.0,61.37
Canada,2013,3444.0,142.7,102.2,99.3,93.1,105.0,61.52
Canada,2014,3414.0,157.1,98.7,96.1,93.5,105.4,61.67
Canada,2015,3419.0,158.5,97.6,93.1,93.1,103.4,61.82
Canada,2016,3494.0,157.5,102.4,99.4,90.4,104.8,61.95
Canada,2017,3501.0,157.5,104.7,97.0,84.3,101.9,62.04
Canada,2018,3531.0,159.2,108.0,96.9,56.5,101.6,62.11
Canada,2019,3535.0,158.3,107.1,94.9,50.5,101.3,62.18
Canada,2020,3583.0,161.7,106.7,92.8,49.8,99.6,62.3
Czechia,2010,3276.0,137.7,92.8,51.9,50.8,66.0,60.71
Czechia,2011,3251.0,133.3,90.8,53.3,60.6,70.1,61.26
Czechia,2012,3243.0,137.0,86.8,44.6,65.0,64.6,61.84
Czechia,2013,3256.0,137.1,87.4,51.6,66.2,68.3,62.45
Czechia,2014,3197.0,128.5,87.4,50.5,56.3,73.5,63.09
Czechia,2015,3122.0,125.0,87.4,56.3,48.2,72.9,63.76
Czechia,2016,3239.0,137.3,88.6,54.6,46.7,79.5,64.42
Czechia,2017,3274.0,140.9,86.9,58.9,49.1,80.7,65.07
Czechia,2018,3272.0,146.0,86.4,61.9,43.7,76.6,65.7
Czechia,2019,3308.0,150.6,87.9,63.5,41.7,72.5,66.32
Czechia,2020,3331.0,152.3,90.6,67.5,35.5,75.1,66.91
Denmark,2010,3365.0,126.8,109.5,81.3,54.4,111.4,48.22
Denmark,2011,3334.0,129.9,104.3,77.3,56.8,110.7,48.26
Denmark,2012,3337.0,129.1,109.2,59.0,55.5,98.9,48.26
Denmark,2013,3363.0,131.4,111.1,59.0,56.2,96.7,48.25
Denmark,2014,3355.0,131.4,108.7,58.9,54.8,97.5,48.23
Denmark,2015,3342.0,131.4,109.6,58.0,54.9,93.4,48.22
Denmark,2016,3368.0,133.7,114.3,56.9,54.9,97.4,48.22
Denmark,2017,3397.0,133.2,115.6,59.6,55.3,101.4,48.23
Denmark,2018,3402.0,136.9,118.0,61.7,56.0,104.2,48.23
Denmark,2019,3449.0,145.9,113.9,59.3,54.4,96.0,48.23
Denmark,2020,3453.0,144.6,110.8,60.4,59.2,94.9,48.23
Finland,2010,3243.0,133.3,112.2,58.3,40.0,76.8,59.33
Finland,2011,3265.0,137.7,113.9,62.9,39.8,82.6,59.41
